Basque,James,Williams,Saint Helena,46,MidLaner,5109
Turkmen,Jason,Clark,Finland,7,MidLaner,2961
Lao,David,Nash,Cayman Islands,21,HardSupport,863
Venda,Joel,Webb,Ukraine,5,MidLaner,3273
Sanskrit,Joshua,Carr,Poland,18,SoftSupport,1969
Akan,Tyler,Love,Samoa,18,HardSupport,6728
Russian,Gabriel,Rodriguez,Romania,54,MidLaner,1672
Maori,Brandon,Taylor,Paraguay,80,OffLaner,6864
Telugu,Todd,Howell,Saint Helena,51,OffLaner,1416
Aragonese,Brian,Rojas,Christmas Island,41,MidLaner,4951
Interlingue,Robert,Arnold,United States Minor Outlying Islands,11,HardSupport,5459
Aragonese,Michael,Williams,Jersey,61,SoftSupport,4901
Yiddish,Adam,Smith,Mexico,99,SafeLaner,7254
Fulah,Brian,Carpenter,Macao,38,MidLaner,2565
English,Thomas,Romero,Austria,88,OffLaner,1850
Gujarati,Joseph,Dunn,Argentina,1,OffLaner,7773
Hungarian,Kyle,Farrell,Angola,19,OffLaner,1098
South Ndebele,Andrew,Glenn,Ukraine,74,HardSupport,2519
Lingala,Luke,Kelly,China,89,SoftSupport,7853
Malay,Brian,Downs,Greece,64,MidLaner,6262
Ewe,Brandon,Cunningham,Djibouti,99,OffLaner,736
Hiri Motu,Jonathan,Jones,Angola,24,MidLaner,2652
Nauru,Daniel,Martin,India,56,OffLaner,1734
Sichuan Yi,Aaron,Green,Estonia,43,MidLaner,1066
Slovenian,Matthew,Smith,Azerbaijan,107,MidLaner,4795
Nauru,David,Rose,Romania,53,SafeLaner,3433
Inupiaq,Randy,Torres,Saint Martin,96,SafeLaner,4983
Georgian,Devin,Bentley,Pakistan,89,SafeLaner,7688
Urdu,Christian,Orr,Nigeria,108,MidLaner,4132
Kashmiri,Andrew,Murphy,Uganda,87,MidLaner,6996
Galician,Christopher,Meza,Tajikistan,67,SafeLaner,5070
Slovenian,Alvin,George,Ethiopia,31,SafeLaner,3925
Zhuang,James,Peters,Saint Helena,32,SafeLaner,1119
Nauru,Steven,Acosta,Bermuda,66,SafeLaner,2791
Spanish,Benjamin,Dixon,Sao Tome and Principe,23,HardSupport,6720
Kuanyama,Justin,Blake,Bahamas,11,MidLaner,6324
Inupiaq,Steven,Ortiz,Angola,100,HardSupport,1165
Igbo,Andrew,King,France,37,HardSupport,4519
Central Khmer,Todd,Johnson,Cambodia,99,HardSupport,6718
Haitian,Francisco,Smith,El Salvador,92,MidLaner,2745
Bulgarian,James,Perry,New Caledonia,72,MidLaner,6633
Japanese,Reginald,Hart,Ecuador,83,SafeLaner,6454
Bosnian,Joshua,Ferguson,Japan,107,OffLaner,6452
Inuktitut,Robert,Rowland,Nauru,85,OffLaner,4744
Oromo,Troy,Cruz,French Guiana,85,MidLaner,3457
Turkmen,Ryan,Kelly,Slovenia,34,SafeLaner,1387
Estonian,Shane,Anderson,Senegal,21,HardSupport,1144
Hindi,Jeffrey,Jones,Turkey,13,MidLaner,5312
Sinhala,Mark,Fernandez,Honduras,85,OffLaner,6403
Irish,Alan,Tanner,Bosnia and Herzegovina,23,OffLaner,2367
Finnish,Scott,Wilson,Georgia,110,HardSupport,2182
Greek,Francis,Cole,Saint Pierre and Miquelon,98,HardSupport,5320
Chuvash,Edward,Mitchell,Aruba,1,MidLaner,2041
Telugu,Travis,Townsend,Sudan,104,SafeLaner,3126
Quechua,Thomas,Harper,Equatorial Guinea,108,SafeLaner,5490
Kuanyama,Timothy,Vega,Cook Islands,64,SafeLaner,5406
Urdu,Richard,Willis,Philippines,71,MidLaner,2567
Slovenian,Gregory,Wood,Poland,43,MidLaner,2656
Ukrainian,Cody,Patel,Bulgaria,111,MidLaner,5974
Venda,Phillip,Mcpherson,Senegal,91,SoftSupport,6281
Malayalam,Anthony,Merritt,South Georgia and the South Sandwich Islands,71,SoftSupport,7459
English,Peter,Solis,Russian Federation,17,OffLaner,4591
Tatar,Daniel,Hicks,Paraguay,74,OffLaner,5067
Maltese,Glen,Wilson,Pakistan,41,SoftSupport,1871
Belarusian,Andre,Reid,Faroe Islands,58,MidLaner,3393
Bislama,Javier,Simmons,Saint Kitts and Nevis,66,SoftSupport,6885
Marathi,Richard,Jones,Saint Martin,89,OffLaner,5279
Urdu,Robert,Young,Bermuda,104,HardSupport,3727
Tibetan,James,Aguirre,Mauritania,20,HardSupport,4728
Lithuanian,Albert,Perez,Brunei Darussalam,79,SafeLaner,7918
Yoruba,Joseph,Gibson,Reunion,45,HardSupport,7025
Marshallese,George,Diaz,French Southern Territories,4,SafeLaner,668
Sindhi,Andrew,Flores,Monaco,76,MidLaner,766
Central Khmer,David,Berry,Estonia,66,OffLaner,6300
Swahili,Blake,Bean,Kiribati,97,MidLaner,6210
Cornish,Adrian,Bailey,Macedonia,102,MidLaner,4700
Sardinian,Steven,Phillips,Lao People's Democratic Republic,21,SoftSupport,6693
Bambara,Kevin,House,Palau,60,HardSupport,2113
Uzbek,Nathan,Estrada,Nicaragua,71,SoftSupport,1774
North Ndebele,George,Mack,Taiwan,7,OffLaner,6419
Yoruba,Christopher,Sherman,Lao People's Democratic Republic,85,HardSupport,1870
Ossetian,Donald,Carpenter,Cyprus,37,HardSupport,6035
Afar,Christopher,Lee,Mali,57,SafeLaner,2050
Wolof,Billy,Joseph,Bulgaria,34,HardSupport,1099
Xhosa,Albert,Williams,Algeria,38,SoftSupport,2142
Korean,George,Burns,Zambia,20,MidLaner,5785
Greek,Alexander,Mejia,Mauritius,50,OffLaner,3550
Oriya,Joshua,Strickland,Niue,108,SafeLaner,5623
Turkmen,Adam,West,Kyrgyz Republic,46,HardSupport,1986
Zhuang,Joseph,Franklin,Belize,74,SafeLaner,5937
Oriya,Ryan,Hall,Monaco,0,OffLaner,6459
Oriya,Carlos,Tate,South Africa,67,OffLaner,7272
Telugu,Darren,Lowe,Palau,11,OffLaner,2004
Latvian,Thomas,Nelson,Sweden,6,SoftSupport,32
Arabic,Anthony,Zimmerman,Argentina,75,SoftSupport,6623
Tajik,Thomas,Keith,Marshall Islands,31,MidLaner,5320
Central Khmer,Kevin,Gray,Comoros,30,SafeLaner,6982
Aymara,Ricky,Rollins,Cocos (Keeling) Islands,105,SoftSupport,5139
Kongo,Dennis,Mcdonald,Armenia,111,HardSupport,3656
Mongolian,Frederick,Nguyen,Ghana,19,OffLaner,1476
